id,name,big_sort,small_sort,address,latitude,longitude,cluster,tags,star_info,star_rating,review_sample,wordcloud
16,Cheonggyecheon Stream,Nature & Parks,,Seoul South Korea,37.566534999999995,126.97796899999999,1.0,"[""walk around"", ""a few hours""]","{""5"":52.0,""4"":33.0,""3"":12.0,""2"":2.0,""1"":1.0,""avg"":4.33,""count"":298.0}",0.87,"{""neg"": [""pretty average attraction with a proper sidewalk at both banks of the stream for visitors to stroll along Great river walk"", ""The stream look very normal during day time, just normal stream, but is very clean""], ""pos"": [""More than twenty bridges cross this stream which is about 8 km long flowing through the Seou\u2019s downtown connecting northern and southern areas before joining the Han River"", ""I walked along the long stretch of this famed urban park and had a really great time people watching and admiring the modern Seoul skyline"", ""We loved walking it, it truly helped with our jet-lag""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2EB8>
17,Jogyesa Temple,Sights & Landmarks,,"45 Gyeonji-dong, Jongno-gu, Seoul 110-170 South Korea",37.5743716,126.98264979999999,1.0,"[""Buddhism"",""history"",""walk around"", ""a few hours"", ""easy to navigate""]","{""5"":57.0,""4"":30.0,""3"":11.0,""2"":1.0,""1"":0.0,""avg"":4.39,""count"":298.0}",0.88,"{""neg"": [""It defies belief that it is not better known  I certainly have never seen anything quite like it"", ""not like the tenples in thailand but ok"", ""I decided to make a short detour since I was visiting Insadong area""], ""pos"": [""For first time visitor if u wanna have a glimpse of the Buddhist religion for the South Koreans, this temple is a highly recommended venue to visit"", ""What a beautiful place!it is not a huge temple but still loved it"", ""Please be mindful and respectful and do not make noise or take picture of them while there are prayers in the main temple where the 3 golden statues are""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2240>
18,Bongeunsa Temple,Sights & Landmarks,,"73 Samseong-dong, Gangnam-gu, Seoul 135-090 South Korea",37.513971600000005,127.05002900000001,2.0,"[""a few hours"", ""walk around"", ""cherry blossom"", ""easy to navigate""]","{""5"":56.0,""4"":37.0,""3"":7.0,""1"":0.0,""2"":0.0,""avg"":4.49,""count"":298.0}",0.9,"{""neg"": [""During the night time the pathways were poorly lighted up and the temple, surrounding areas, statues were poorly lighted up"", ""Complex of small temples on a hillside opposite side of road to Coex conference centre and Coex Intercontinental Hotel"", ""While for me Seoul seems as very western oriented country, it was good to be able to see actual old culture""], ""pos"": [""The lanterns everywhere were beautiful and the entrance with all the lotus flowers in the big wooden pots were beautiful too"", ""You can witness an absolute serenity with the buddhist worshippers of the statute behind you, as you gaze on the skyline of Seoul""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2F28>
19,Haneul Park,Nature & Parks,,,37.5674467,126.88545,3.0,"[""shuttle bus"", ""walk around"", ""great view"", ""a few hours"", ""night view"", ""easy to navigate""]","{""5"":48.0,""4"":47.0,""3"":5.0,""1"":0.0,""2"":0.0,""avg"":4.43,""count"":85.0}",0.89,"{""neg"": [""As someone who comes from a place where we still have sweeping vistas of untainted Savannah, it was a bot sad to see the cramped up high rises and kinda feel the suffocation from so much concrete"", ""Very important to check when the grass is scheduled for cutting or else you risk missing out on the pretty backdrop""], ""pos"": [""(You can also walk on the trail \u2014 more steps but less steep)"", ""The garden was especially beautiful in autumn, with different types of plants of distinct colours, such as Eulalia grass, pink muhly grass etc"", ""Endless eulalia grass with silver tips was a beautiful sight!Great for a stroll to be away from the city!We spent a few hours walking in this lovely urban setting""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA20B8>
20,Bukchon Hanok Village,Sights & Landmarks,,,37.5824075,126.983653,1.0,"[""a few hours"", ""traditional house"", ""restaurants"", ""walk around"", ""traditional dress"", ""crowded""]","{""5"":42.0,""4"":35.0,""3"":20.0,""2"":2.0,""1"":1.0,""avg"":4.14,""count"":298.0}",0.83,"{""neg"": [""This traditional Korean village is beautiful but is somewhat destroyed by inconsiderate tourists who talk loudly and make too much noise in a residential area""], ""pos"": [""Definitely worth visiting and having a traditional tea in our of the amazing tea houses Avoid the crowds while not getting in the way of those living in these wonderful homes"", ""but is a real neighborhood so be respectful!!!It\u2019s a residential area so it\u2019s important to be quiet and respectful when walking around"", ""wonderful This quaint and charming neighborhood situated in the center of Seoul is truly a sight to behold""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2518>
21,Hongik University Street,Sights & Landmarks,,"Seogyo-dong, Seoul South Korea",37.55348970000001,126.91773,3.0,"[""restaurants"", ""a few hours"", ""walk around"", ""crowded""]","{""5"":62.0,""4"":30.0,""3"":6.0,""2"":2.0,""1"":0.0,""avg"":4.51,""count"":298.0}",0.9,"{""neg"": [""Hongdae has grown gigantic over the years but most of the businesses are the same -- coffee shops, clubs, bars and clothing boutiques"", ""Absolutely nothing interesting was found there, all the same things that you can find in other shopping areas"", ""Don't recommend going there if you have been in other universities areas""], ""pos"": [""it has good shopping street, loads of small eateries to sink your teeth into, and not to mention the street performances by what seems to be young budding K-pop singers, dancers, performers, etc"", ""The buskers put in their heart and soul in their performances"", ""Fun with a bunch of friends, lotsa food and beverage outlets catering to younger crowd""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2B70>
22,Ewha Womans University,Sights & Landmarks,,,37.564255100000004,126.95030700000001,1.0,"[""walk around"", ""restaurants"", ""a few hours""]","{""5"":48.0,""4"":43.0,""3"":9.0,""1"":0.0,""2"":0.0,""avg"":4.39,""count"":298.0}",0.88,"{""neg"": [""The university compound is very big, it's like a small town"", ""The surrounding area is small but charming, with a short little drag selling your usual cosmetics, clothes and some street food"", ""we saw on average about 10 motor bikes for food delivery in the 45 mins we were on the campus ground""], ""pos"": [""Search for the lit architecture and take a picture, it's definitely beautiful!Outside of this university is one great shopping area especially for women - a lot of cheap finds"", ""Due the fact that our daughter is studying in that particular university we spent hours walking up and down in the campus area having once a birthday party outside"", "" Around the Uni, there is alot cosmetic shop, cloth, cafe and etcBe alert and bring enough cash and card as here is the cheapest shopping palace ever""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2710>
23,Dongdaemun Design Plaza (DDP),Sights & Landmarks,,,37.5667521,127.01010459999999,1.0,"[""walk around"", ""restaurants""]","{""5"":51.0,""4"":35.0,""3"":11.0,""2"":2.0,""1"":1.0,""avg"":4.32,""count"":298.0}",0.86,"{""neg"": [""It was a huge disappointment though, there was almost no content and so much of the museum space was closed or empty"", ""The shops around the area are a waste of time, selling knock-offs and cheap local style \""aji-ma\"" style clothing""], ""pos"": [""Located on the site of the old baseball stadium the DDP represents a unique piece of building which looks like a huge sculpture in the classic curvy design of Zaha Hadid"", ""Ideally for teenagers that love shopping as some of the shops operate till 3am late night and lots branded is on sales ;) We aren't only to find out there were no exhibits""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2CC0>
24,Starfield Library,Traveler Resources,,"513, Yeongdong-daero, Gangnam-gu Starfield COEX Mall, Seoul 06164 South Korea",37.51168500000001,127.059339,2.0,"[""restaurants"", ""crowded"", ""easy to navigate""]","{""5"":53.0,""4"":39.0,""3"":6.0,""2"":1.0,""1"":1.0,""avg"":4.42,""count"":158.0}",0.88,"{""neg"": [""I\u2019m not sure this would be worth making a special trip to visit, but we were already in the area to visit Bonguensa temple (just over the road from the COEX Mall) so came in to see the library"", "" launch of new book etc) so expect the place to be noisy and chaotic"", ""Maybe if you're bored with your friends and are in the area, but as it's a bit out of the way, I think if your time is limited in Seoul/Korea, then your time could be used for something else""], ""pos"": [""You will see people riding the escalator multiple times to get a good picture"", ""But the signage that directs you to the Starfield Library keeps you on track to a pretty cool and unique landmark"", ""It is amazing that nobody every steals a book from here""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAA2048>
25,Kwangjang Market,Sights & Landmarks,,"88, Changgyeonggung-ro, Jongno-gu, Seoul 03195 South Korea",37.570039799999996,126.99960300000001,1.0,"[""crowded"", ""walk around"", ""traditional market""]","{""5"":43.0,""4"":41.0,""3"":13.0,""2"":3.0,""1"":1.0,""avg"":4.24,""count"":298.0}",0.85,"{""neg"": [""There were vast rows of food stalls broken up into sections where they all sell the exact same thing"", ""Sine we were not into shopping, there was nothing else except to expert the place and eat something from there"", ""Aside from that, not much is worth visiting and I believe most tourists come here just for the food, as we didn't see people checking out the stores that're lined around the whole market""], ""pos"": [""This is one stop I really enjoyed, the market was quite extensive with lots of stores selling Korean dresses, souvenirs, trinkets, food stuff and lots more"", ""This is the traditional market where it have variety of foods, drinks, snacks, souvenirs, dresses and etc"", ""After that, we walked around and there were many stalls selling souvenirs (seaweed/ honey butter nuts/ ginseng extract) and bought a few things""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x199473BC8D0>
26,Love Museum,Museums,,"20, Hongik-ro 3-gil, Mapo-gu B1 Seogyo Plaza, Seoul 04039 South Korea",37.553478000000005,126.921645,3.0,"[""a few hours""]","{""5"":77.0,""4"":11.0,""2"":6.0,""3"":6.0,""1"":0.0,""avg"":4.59,""count"":64.0}",0.92,"{""neg"": [""Don\u2019t make ur live boring and challenge yourself to see this!Definetely place to visit with a partner"", ""Rather would call this a Sex Museum instead of Love museum"", ""located in a great area where most clubs and bars are located""], ""pos"": [""I like the one with the Mother giving birth to her child"", ""But you don\u2019t need to worry because the drawings are made in a funny way"", ""It's absolutely inappropriate for children or modest families, but I thoroughly enjoyed it""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08F28>
27,Seoul Forest,Nature & Parks,,,37.54316439999999,127.041854,2.0,"[""walk around"", ""cherry blossom"", ""crowded"", ""a few hours"", ""nature"", ""easy to navigate""]","{""5"":58.0,""4"":28.0,""3"":12.0,""2"":1.0,""1"":0.0,""avg"":4.39,""count"":138.0}",0.88,"{""neg"": [""Last year, the autumn colours were stunning but because of the long summer and dryness this year the ginkgo and maple trees were somewhat disappointing"", ""Some of the signage had us looping around trying to get to certain areas and I ended up having to use GPS map to get to some parts"", ""The eco wetlands were disappointing- just a little patch of water with a wooden boardwalk through it""], ""pos"": [""Bring the kids and a small sun tent and relax for the whole day"", ""Also there is really beautiful disabled-friendly children's park, insect museum etc""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08CF8>
28,Yeouido Hangang Park,Nature & Parks,,,37.5263086,126.933582,3.0,"[""a few hours"", ""restaurants"", ""crowded"", ""cherry blossom"", ""great view""]","{""5"":53.0,""4"":39.0,""3"":7.0,""2"":1.0,""1"":0.0,""avg"":4.44,""count"":227.0}",0.89,"{""neg"": [""However, the disappointment of the city skyline - or a lack thereof - and you've got yourself a park that doesn't prove to be a good visit for tourists"", ""Some parts were clearly designed for events (thankfully none in progress), but follow the paths and you will be led to areas with wild grass and solitude"", ""Great place for a short, moderate or long riverside walk""], ""pos"": [""This place is definitely a venue to visit for a lovely korean-style picnic !I came here in 2015 during the spring and there were cherry blossoms everywhere"", ""there are also cafes and restaurants, so making it the perfect destination for an afternoon outdoors"", ""You have families and young couples or friends relaxing over the day with their tents , you have young talented singers doing an amazing job""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08AC8>
29,Leeum Samsung Museum of Art,Museums,,,37.5383951,126.999265,0.0,"[""a few hours"", ""walk around"", ""restaurants""]","{""5"":61.0,""4"":25.0,""3"":7.0,""2"":4.0,""1"":3.0,""avg"":4.37,""count"":288.0}",0.87,"{""neg"": [""The exhibitions were rather boring in Museum 1 (you really have to like ceramics to enjoy it), but Museum 2 has some interesting modern art"", ""I guess you could say that the surrounding area is quite pleasant; I felt much more positive and engaged while walking around than I've ever felt inside this 'museum'""], ""pos"": [""But once the audio guide is tuned in, our minds start to sponge up the incredible meaning behind each creation including art trends, artists\u2019 developments and societal influences""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08898>
30,Seoul Sky,Sights & Landmarks,,"300, Olympic-ro, Songpa-gu Lotte World Tower 117-123F, Seoul 05551 South Korea",37.5129907,127.102732,2.0,"[""night view"", ""great view"", ""crowded"", ""expensive""]","{""5"":60.0,""4"":30.0,""3"":5.0,""1"":3.0,""2"":2.0,""avg"":4.42,""count"":113.0}",0.88,"{""neg"": [""Visit on weekdays to skip the queues and thick crowds, and pay with Mastercard for 10% off the standard ticket price of ?27,000"", ""It has lesser crowds compared to N-Seoul and quite expectedly, more expensive but well worth your buck!The biggest come-on is the vertigo inducing glass transparent floor"", ""I think it\u2019s the cheapest way, except going by foot""], ""pos"": [""Somehow they don't allow baby strollers citing it might interfere with visitor experience, so we had to leave them at the tower lobby"", ""Test that phobia of yours if you can!!Enjoyed going up here with some colleagues recently, what a lot of fun!the glass floor had a few people scared at first but then we all loved it""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08668>
31,Doota,Shopping,,,37.569135700000004,127.00907,1.0,"[""restaurants"", ""expensive""]","{""3"":45.0,""4"":29.0,""5"":21.0,""1"":4.0,""2"":1.0,""avg"":3.61,""count"":80.0}",0.72,"{""neg"": [""I've heard a lot about Doota mall and I might expect a lot but the clothes is the same the price is kind of expensive compared to the quality of the other store"", ""That was disgusting!This is one of the largest fashion malls in Dongdaemun area""], ""pos"": [""Additional coupon book for shopping (10%-30% discount)4"", ""Worst shopping experience ever and it totally spoiled my mood to ever shop in Dongdaemun and Doota Mall ever again"", ""Personally, I'm not really drawn to overly bright stores, it always gives a superficial and unfriendly vibe to them""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB08438>
32,apm Place,Shopping,,,37.5652675,127.008417,1.0,[],,0.0,"{""neg"": [""I don't think they liked that though!"", ""Sometimes, they might say you have to buy 3 since it's wholesale""], ""pos"": [""In that scenario, we just bought with another group of people and split the cost, haha"", ""It doesn't really cater to guys at all, so I was just walking around with my wife""]}",
33,Korea University,Sights & Landmarks,,,37.590011700000005,127.03185800000001,1.0,"[""walk around"", ""restaurants""]",,0.0,"{""neg"": [""If you are nearby the campus, take a walk there and look at the architectures""], ""pos"": [""There had modern and Gothic building, so the harmony was good to me"", ""There are some cafes, fast food restaurants, convenient stores, book store and etc within the campus"", ""its such a wonderful white snow""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB13B00>
